Detector;Keypoint1;Keypoint2;1K Detect Time;Descriptor;Descriptor1;Descriptor2;1K Descript Time;Norm.;Matcher;Inliers;All Matches;Total Time;1K Match Tot. Time;1K Inliers Time;Recall;Precision;Repeatibility;F1-Score;Reprojection Error;3DPoints;Reconstruction Time
sift;3720.0;4186.6;0.015284587352806836;sift;3720.0;4186.6;0.014645844103863975;L2;BF;574.4;1542.2;0.1872885398;0.12151384174975181;0.367808616501314;0.15440860215053762;0.37210043236818596;0.1636550282545925;0.21809365401605452;nan;nan;nan
sift;nan;nan;nan;akaze;nan;nan;nan;L2;BF;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
sift;nan;nan;nan;orb;nan;nan;nan;L2;BF;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
sift;3720.0;4186.6;0.015284587352806836;brisk;3522.0;3963.6;0.008165923128189926;L2;BF;37.8;966.0;0.15929726100000002;0.16457255776412344;4.2896209345022625;0.010161290322580646;0.03915128369650726;0.010549591681281112;0.016123283797532077;nan;nan;nan
sift;nan;nan;nan;kaze;nan;nan;nan;L2;BF;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
sift;3720.0;4186.6;0.015284587352806836;daisy;3720.0;4186.6;0.016752661618252167;L2;BF;32.6;519.0;0.1942451374;0.3898563096932174;6.298787121061102;0.008763440860215055;0.06353429225551148;0.009333758480806364;0.015353205133548837;nan;nan;nan
sift;3720.0;4186.6;0.015284587352806836;freak;3344.0;3775.0;0.005190662192680177;L2;BF;33.2;855.0;0.14176445859999998;0.16553553637145274;4.283310904639219;0.0089247311827957;0.038738594419666775;0.009276629289117997;0.014501227230887443;nan;nan;nan
sift;3720.0;4186.6;0.015284587352806836;brief;3212.0;3653.4;0.002168529239267616;L2;BF;51.8;1304.8;0.0985241622;0.07542999163171438;1.9444418167434006;0.013924731182795696;0.03953293407306799;0.01441010788117128;0.020582448477911595;nan;nan;nan
sift;3720.0;4186.6;0.015284587352806836;lucid;3720.0;4186.6;0.003184971369758117;L2;BF;47.2;1277.0;0.2125777092;0.16599522651119775;4.491798444221523;0.012688172043010754;0.03706112980221461;0.013209951993764504;0.01887969903572525;nan;nan;nan
sift;3720.0;4186.6;0.015284587352806836;latch;3265.0;3713.4;0.0011000121287305276;L2;BF;57.0;1679.2;0.0848222914;0.050492805151215535;1.5082412598954542;0.015322580645161291;0.034243397826052416;0.016087048945102832;0.021145772890638532;nan;nan;nan
sift;3720.0;4186.6;0.015284587352806836;vgg;3720.0;4186.6;0.05777180326144624;L2;BF;111.8;1312.2;0.3351756614;0.25480908034754457;6.989540773903715;0.030053763440860214;0.08737766454605089;0.034786186250022146;0.04471892094935041;nan;nan;nan
sift;3720.0;4186.6;0.015284587352806836;beblid;3720.0;4186.6;0.0013042763162496099;L2;BF;248.2;1239.2;0.1609714544;0.1297359088476581;1.2625653900924951;0.06672043010752687;0.19870005612375222;0.07093107296593505;0.09982262021261998;nan;nan;nan
sift;3720.0;4186.6;0.015284587352806836;teblid;3720.0;4186.6;0.0005642321657538065;L2;BF;77.4;1378.4;0.1084926934;0.07879003855053464;1.9015036133213221;0.020806451612903225;0.05902003743240321;0.023051318842890293;0.030724913760853362;nan;nan;nan
sift;3720.0;4186.6;0.015284587352806836;boost;3720.0;4186.6;0.011005965053200562;L2;BF;159.8;1326.6;0.14621245200000002;0.10990442922913646;1.7561978006093963;0.042956989247311825;0.11916513722439055;0.044959168128111106;0.0630399721794282;nan;nan;nan
akaze;896.0;963.6;0.052094230290406815;sift;896.0;963.6;0.017479910388078727;L2;BF;116.0;286.4;0.07771122059999999;0.2740816202870828;1.2099658207151562;0.12946428571428573;0.38554548632433916;0.1335534130695128;0.19315817625653472;nan;nan;nan
akaze;896.0;963.6;0.052094230290406815;akaze;896.0;963.6;0.04343050400469699;L2;BF;85.0;348.6;0.099602538;0.2864130463125578;2.1875675731875903;0.09486607142857142;0.2435507405499305;0.0980627358113935;0.1364881385327318;nan;nan;nan
akaze;896.0;963.6;0.052094230290406815;orb;892.0;958.6;0.0036600139641944996;L2;BF;21.4;296.4;0.0599298068;0.20244614947689676;2.8653528382991547;0.023883928571428573;0.07208708514814316;0.02439723596328794;0.0358658052669843;nan;nan;nan
akaze;896.0;963.6;0.052094230290406815;brisk;896.0;963.6;0.009047655106386684;L2;BF;52.0;277.2;0.0693911182;0.25051301981666796;2.083313661058378;0.05803571428571429;0.18545845017400467;0.059780668324082485;0.08838431302738807;nan;nan;nan
akaze;896.0;963.6;0.052094230290406815;kaze;896.0;963.6;0.15688957695867858;L2;BF;0.0;0.0;0.20325036999999999;0.0;0.0;0.0;0.0;0.0;0.0;nan;nan;nan
akaze;896.0;963.6;0.052094230290406815;daisy;896.0;963.6;0.06261505721399324;L2;BF;20.4;146.0;0.1200453726;0.869588154109065;6.822231516953243;0.022767857142857142;0.13747345243287373;0.023303891946516584;0.03884484703178708;nan;nan;nan
akaze;896.0;963.6;0.052094230290406815;freak;896.0;963.6;0.005877167432709602;L2;BF;37.2;280.0;0.0672630618;0.24026068630619007;2.706214473377177;0.04151785714285714;0.12967461744894346;0.04247850235066232;0.06287953766444757;nan;nan;nan
akaze;896.0;963.6;0.052094230290406815;brief;896.0;963.6;0.002339101479167034;L2;BF;26.8;322.2;0.05797773540000001;0.18037317101323916;2.3953982364568045;0.029910714285714284;0.08414913643502551;0.03060791761489643;0.044112382406407705;nan;nan;nan
akaze;896.0;963.6;0.052094230290406815;lucid;896.0;963.6;0.0044594553051090875;L2;BF;19.8;329.4;0.0701183102;0.21329780080070265;3.5561351105263155;0.02209821428571429;0.06007057961933099;0.022534673552349487;0.032291177860355444;nan;nan;nan
akaze;896.0;963.6;0.052094230290406815;latch;896.0;963.6;0.0013707919986195017;L2;BF;26.2;459.2;0.0558660384;0.12196561844527672;2.145678966610981;0.029241071428571425;0.05732921125902028;0.029916740960703063;0.03871374806490299;nan;nan;nan
akaze;896.0;963.6;0.052094230290406815;vgg;896.0;963.6;0.06234718862312968;L2;BF;67.4;311.4;0.1161120246;0.3790009844290846;4.548242591972189;0.07522321428571428;0.1883023036871366;0.07706009701601987;0.10714858808557404;nan;nan;nan
akaze;896.0;963.6;0.052094230290406815;beblid;896.0;963.6;0.0016353127994294867;L2;BF;64.8;303.4;0.06412313180000001;0.21145551746179816;1.4655113411766416;0.07232142857142856;0.20830372035446745;0.0745867644051473;0.10733008529036528;nan;nan;nan
akaze;896.0;963.6;0.052094230290406815;teblid;896.0;963.6;0.0010354644463756483;L2;BF;38.4;343.8;0.05751695240000001;0.16754073034343248;1.951688560561167;0.04285714285714286;0.11454513871769893;0.04414529744657491;0.06235243895004707;nan;nan;nan
akaze;896.0;963.6;0.052094230290406815;boost;896.0;963.6;0.015076458156703696;L2;BF;37.6;316.2;0.07010676;0.22169836733179796;2.693799691599742;0.04196428571428572;0.11906158210908273;0.04295552848054854;0.06204884815896948;nan;nan;nan
orb;8973.0;12500.4;0.001038998628957214;sift;8973.0;12500.4;0.021632518605572647;L2;BF;217.0;862.8;0.495007917;0.6375120207182798;6.8548491083697485;0.024183662097403323;0.19668616771380124;0.02803684075862469;0.04277183872559205;nan;nan;nan
orb;nan;nan;nan;akaze;nan;nan;nan;L2;BF;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
orb;8973.0;12500.4;0.001038998628957214;orb;8973.0;12500.4;0.0017358227078126966;L2;BF;376.0;3403.8;0.2569809218;0.07425413344965089;1.2987669114023692;0.041903488242505296;0.11970191319017305;0.04589323526133957;0.0619174719651398;nan;nan;nan
orb;8973.0;12500.4;0.001038998628957214;brisk;7385.0;10773.6;0.00867986896971101;L2;BF;96.6;2607.0;0.4011083554;0.151561834679397;4.214392841112633;0.010765630224005349;0.037465736942715974;0.011272884123710442;0.016704039599679168;nan;nan;nan
orb;nan;nan;nan;kaze;nan;nan;nan;L2;BF;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
orb;8973.0;12500.4;0.001038998628957214;daisy;8973.0;12500.4;0.007362209827980007;L2;BF;54.2;956.2;0.44026931839999994;0.4750673166953995;8.28109062952474;0.006040343251978156;0.056774256977533334;0.006269582995114112;0.010902282327096417;nan;nan;nan
orb;8973.0;12500.4;0.001038998628957214;freak;4677.0;7326.4;0.005884639122089477;L2;BF;52.8;1294.0;0.1915584916;0.14625344352679046;3.5843667138434463;0.005884319625543297;0.040788746566326826;0.006108681927335933;0.010279280642133432;nan;nan;nan
orb;8973.0;12500.4;0.001038998628957214;brief;8973.0;12500.4;0.0018376020207776268;L2;BF;133.0;3561.0;0.169646753;0.046975535721800576;1.280632543225855;0.014822244511311713;0.03712332488054819;0.015319743528330168;0.021110056125438162;nan;nan;nan
orb;8973.0;12500.4;0.001038998628957214;lucid;8973.0;12500.4;0.0032511421292957116;L2;BF;120.4;3011.2;0.9454859596;0.30782660001617196;7.723388341717046;0.01341803187339797;0.03998386144507858;0.013905776007729789;0.020022940791471423;nan;nan;nan
orb;8973.0;12500.4;0.001038998628957214;latch;8973.0;12500.4;0.0008456197661409462;L2;BF;159.6;4797.0;0.081277394;0.01676441919211789;0.5060074351316375;0.017786693413574056;0.033365348911888776;0.018425638229548735;0.023113203039560014;nan;nan;nan
orb;8973.0;12500.4;0.001038998628957214;vgg;8973.0;12500.4;0.05937500095131372;L2;BF;86.6;1420.8;0.90532349;0.6266884506593561;11.996715239580151;0.009651175749470633;0.06287423074691871;0.01036815962693841;0.016711837934904442;nan;nan;nan
orb;8973.0;12500.4;0.001038998628957214;beblid;8973.0;12500.4;0.001227752055232822;L2;BF;506.0;2965.4;0.5987108358000001;0.19932663564757075;3.3434124923168214;0.056391396411456594;0.17933408608212784;0.06289302572209975;0.08574418691366262;nan;nan;nan
orb;8973.0;12500.4;0.001038998628957214;teblid;8973.0;12500.4;0.0006375369891686424;L2;BF;251.4;3447.2;0.24341709160000002;0.06954846338016721;1.676072947966783;0.02801738548980274;0.07896958007766718;0.031587672553111665;0.041278144451367946;nan;nan;nan
orb;8973.0;12500.4;0.001038998628957214;boost;8973.0;12500.4;0.010443982257916744;L2;BF;147.4;2838.2;0.3581840766;0.12387443062107847;3.1905750099896557;0.016427058954641704;0.05554015462891302;0.018002472508533478;0.025275476357177185;nan;nan;nan
brisk;2241.0;3309.0;0.011923679923387945;sift;2241.0;3309.0;0.011611841527659645;L2;BF;169.8;433.6;0.09766058339999999;0.22638689898359607;1.2511717093114219;0.07576974564926373;0.3834566248898771;0.08930960082948226;0.1264049686635729;nan;nan;nan
brisk;nan;nan;nan;akaze;nan;nan;nan;L2;BF;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
brisk;2241.0;3309.0;0.011923679923387945;orb;2174.0;3198.6;0.003016872265628019;L2;BF;46.6;863.8;0.071431391;0.08056403971723698;1.5029896502461164;0.020794288264167782;0.0542474656968124;0.022767301154455223;0.02982429857061441;nan;nan;nan
brisk;2241.0;3309.0;0.011923679923387945;brisk;2241.0;3309.0;0.009244347607477065;L2;BF;217.0;897.6;0.1110654732;0.12000263256244477;0.5744770735836748;0.0968317715305667;0.2562132269397719;0.10946293946512287;0.1393713871075935;nan;nan;nan
brisk;nan;nan;nan;kaze;nan;nan;nan;L2;BF;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
brisk;2241.0;3309.0;0.011923679923387945;daisy;2241.0;3309.0;0.024208085111278695;L2;BF;28.4;338.6;0.1423102002;0.42658877478335794;5.046142638382275;0.012672913877733154;0.08562456170590468;0.014269686006152143;0.022019432087970893;nan;nan;nan
brisk;2241.0;3309.0;0.011923679923387945;freak;1824.0;2868.4;0.006153978810731609;L2;BF;38.4;660.4;0.088484855;0.13031330640900873;2.380530627502798;0.01713520749665328;0.06005397100135634;0.01912968593393416;0.026480502890200337;nan;nan;nan
brisk;2241.0;3309.0;0.011923679923387945;brief;2189.0;3236.8;0.0020347441662206577;L2;BF;46.2;903.8;0.06304446699999999;0.06765509883979073;1.328330238465789;0.020615796519410975;0.05200415458289105;0.02253993142274011;0.02925088747735005;nan;nan;nan
brisk;2241.0;3309.0;0.011923679923387945;lucid;2241.0;3309.0;0.003617784082811924;L2;BF;42.0;897.2;0.1224764756;0.13217561021826954;2.8886315684731216;0.018741633199464525;0.04786832049472179;0.020469236973254996;0.026736671648466805;nan;nan;nan
brisk;2241.0;3309.0;0.011923679923387945;latch;2216.0;3263.4;0.001065778899562332;L2;BF;58.2;1211.4;0.054265722;0.04370286200564004;0.9326427671711578;0.025970548862115122;0.04868934254146428;0.028291087231119283;0.033563230315475354;nan;nan;nan
brisk;2241.0;3309.0;0.011923679923387945;vgg;2241.0;3309.0;0.05874042084118182;L2;BF;46.0;357.2;0.24629753399999998;0.6720494680271007;8.90593859996386;0.020526550647032574;0.13316154569005192;0.026471247055930364;0.03552197774979366;nan;nan;nan
brisk;2241.0;3309.0;0.011923679923387945;beblid;2241.0;3309.0;0.0014142678321044304;L2;BF;137.0;864.8;0.08938194940000001;0.10030922469094643;0.9090935957023951;0.06113342257920571;0.17050340972521252;0.06950179290103284;0.08916566577290005;nan;nan;nan
brisk;2241.0;3309.0;0.011923679923387945;teblid;2241.0;3309.0;0.0008085899073930128;L2;BF;54.6;899.0;0.0660041848;0.07159138442137494;1.3658887966447177;0.024364123159303884;0.06670201894381678;0.02866651065942208;0.035268082225248895;nan;nan;nan
brisk;2241.0;3309.0;0.011923679923387945;boost;2241.0;3309.0;0.012073141396276216;L2;BF;39.6;775.4;0.09829546260000001;0.12242733447055572;2.5183684892801343;0.017670682730923693;0.05232935635854972;0.019619908049325414;0.02623747740370792;nan;nan;nan
kaze;331.0;325.4;0.5331359072648422;sift;331.0;325.4;0.04772503205422061;L2;BF;12.0;70.4;0.18994689380000002;2.7016050360391413;15.985235604395603;0.03625377643504532;0.17342124621422733;0.04174873629225182;0.059742351596910236;nan;nan;nan
kaze;331.0;325.4;0.5331359072648422;akaze;331.0;325.4;0.13437623041307706;L2;BF;11.0;66.2;0.21502621659999996;3.280116230667813;19.470703555757574;0.03323262839879154;0.16990258819430096;0.03844686211103641;0.05537619793638683;nan;nan;nan
kaze;331.0;325.4;0.5331359072648422;orb;305.0;300.0;0.010240211266309395;L2;BF;12.4;77.8;0.17680917319999997;2.2741512673879782;14.19191515;0.03746223564954683;0.1615785916000721;0.043456737311953916;0.06065453259877181;nan;nan;nan
kaze;331.0;325.4;0.5331359072648422;brisk;328.0;321.6;0.011423217969872683;L2;BF;15.6;88.8;0.178306077;2.0097694945007722;12.04044590542443;0.047129909365558914;0.1761103489121797;0.05621239862254397;0.07431558658480972;nan;nan;nan
kaze;331.0;325.4;0.5331359072648422;kaze;331.0;325.4;0.4435358020086869;L2;BF;22.2;60.4;0.31784056239999997;5.372153015343007;22.15767898809269;0.06706948640483384;0.3506030627529451;0.08620046432313423;0.11234402014570408;nan;nan;nan
kaze;331.0;325.4;0.5331359072648422;daisy;331.0;325.4;0.1974187757027391;L2;BF;11.8;53.4;0.2368522896;4.450652138151176;19.95743017768232;0.035649546827794566;0.22269461282335862;0.04086378054003943;0.06130250837950944;nan;nan;nan
kaze;331.0;325.4;0.5331359072648422;freak;301.0;296.4;0.008042833758194127;L2;BF;13.0;92.0;0.17710688559999999;1.9202288429041716;13.621040678461537;0.03927492447129909;0.14191777563832333;0.045550152278667815;0.06144759535036361;nan;nan;nan
