Detector;Keypoint1;Keypoint2;1K Detect Time;Descriptor;Descriptor1;Descriptor2;1K Descript Time;Norm.;Matcher;Inliers;All Matches;Total Time;1K Match Tot. Time;1K Inliers Time;Recall;Precision;Repeatibility;F1-Score;Reprojection Error;3DPoints;Reconstruction Time
sift;2669.0;3792.6;0.05589639998803342;sift;2669.0;3792.6;0.07251046356513499;L2;BF;433.8;1037.6;0.8700462808000001;0.8884561393398933;12.549257095159874;0.1625327838141626;0.350508887697416;0.1625327838141626;0.2209135598150358;nan;nan;nan
sift;nan;nan;nan;akaze;nan;nan;nan;L2;BF;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
sift;nan;nan;nan;orb;nan;nan;nan;L2;BF;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
sift;2669.0;3792.6;0.05589639998803342;brisk;2508.0;3571.0;0.013321510203287201;L2;BF;34.2;774.6;0.5835319896;0.7655498220682627;18.198097003510437;0.01281378793555639;0.04352013279026399;0.01281378793555639;0.019749933245333903;nan;nan;nan
sift;nan;nan;nan;kaze;nan;nan;nan;L2;BF;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
sift;2669.0;3792.6;0.05589639998803342;daisy;2669.0;3792.6;0.052033652821663536;L2;BF;304.0;677.4;1.0522576972;1.8517571253045482;17.53839200556867;0.11390033720494568;0.33858593884953625;0.11390033720494568;0.16799184013211915;nan;nan;nan
sift;2669.0;3792.6;0.05589639998803342;freak;2378.0;3374.2;0.011996998061775965;L2;BF;29.8;711.2;0.5424841868;0.7709637406396623;18.81305907622461;0.011165230423379543;0.04168016090723896;0.011165230423379543;0.01758676422623859;nan;nan;nan
sift;2669.0;3792.6;0.05589639998803342;brief;2297.0;3279.2;0.0027717720456596905;L2;BF;35.8;1021.8;0.39283476;0.38422732059643155;11.024991579685908;0.013413263394529787;0.03504392940459326;0.013413263394529787;0.01938909018513904;nan;nan;nan
sift;2669.0;3792.6;0.05589639998803342;lucid;2669.0;3792.6;0.005581950791854079;L2;BF;70.4;998.2;1.1846276761999999;1.190030069840377;26.238378271795263;0.026376920194829522;0.06942054980042445;0.026376920194829522;0.03822060993139327;nan;nan;nan
sift;2669.0;3792.6;0.05589639998803342;latch;2350.0;3339.2;0.0016663816461608943;L2;BF;48.6;1336.2;0.2699736042;0.2022525440592322;5.84023003787711;0.01820906706631697;0.036179062696259326;0.01820906706631697;0.024201774015119432;nan;nan;nan
sift;2669.0;3792.6;0.05589639998803342;vgg;2669.0;3792.6;0.9450443421243119;L2;BF;337.8;1060.8;3.9639508214;3.8914547321500224;56.24197882924416;0.1265642562757587;0.2771727919576187;0.1265642562757587;0.17322753172537383;nan;nan;nan
sift;2669.0;3792.6;0.05589639998803342;beblid;2669.0;3792.6;0.006962675359153443;L2;BF;177.4;966.6;0.5948680204000001;0.6196222204666937;13.248970313753443;0.06646684151367555;0.17047227547480825;0.06646684151367555;0.09554180047426898;nan;nan;nan
sift;2669.0;3792.6;0.05589639998803342;teblid;2669.0;3792.6;0.004158692445635973;L2;BF;106.6;1084.8;0.42958071880000004;0.39661684095012617;10.080775736525796;0.03994005245410266;0.0947760740073579;0.03994005245410266;0.056178679575440246;nan;nan;nan
sift;2669.0;3792.6;0.05589639998803342;boost;2669.0;3792.6;0.2095218352278118;L2;BF;186.2;990.0;1.2087880094;1.2386439395244322;27.652334580905762;0.06976395653802922;0.1694645089582564;0.06976395653802922;0.09868907294726581;nan;nan;nan
akaze;2419.0;2579.8;0.04752823370274156;sift;2419.0;2579.8;0.06757968875675732;L2;BF;529.2;882.2;0.536178052;0.6811219567165376;6.242165399943912;0.2187680859859446;0.4682042541843969;0.2189432686300717;0.29395101127253137;nan;nan;nan
akaze;2419.0;2579.8;0.04752823370274156;akaze;2419.0;2579.8;0.04973817839566613;L2;BF;305.4;930.4;0.5969592708;0.6557180045495967;9.257855610043928;0.12625051674245558;0.2742821322117317;0.1264747505269383;0.1721093991780279;nan;nan;nan
akaze;2419.0;2579.8;0.04752823370274156;orb;2407.0;2563.4;0.006419611457785253;L2;BF;32.8;794.4;0.2743367494;0.3479401139890001;8.601461156673714;0.013559322033898305;0.041212707467986276;0.013790563124146102;0.02035478984575987;nan;nan;nan
akaze;2419.0;2579.8;0.04752823370274156;brisk;2419.0;2579.8;0.015098695001545568;L2;BF;228.8;737.0;0.39320160400000004;0.5493749395219372;8.354433253265098;0.09458453906572964;0.2505318492797649;0.09476672901562186;0.1365577023482745;nan;nan;nan
akaze;2419.0;2579.8;0.04752823370274156;kaze;2419.0;2579.8;0.14477219266577496;L2;BF;383.2;582.2;0.6174041144;1.3611111490723224;11.666205382202772;0.15841256717651925;0.4824012921895496;0.158559720597586;0.2337840971578838;nan;nan;nan
akaze;2419.0;2579.8;0.04752823370274156;daisy;2419.0;2579.8;0.07516329957283797;L2;BF;375.6;692.6;0.7144351457999999;1.2866190256149774;11.959136348206474;0.1552707730467135;0.3888569772628658;0.15541091916201522;0.2169080715943565;nan;nan;nan
akaze;2419.0;2579.8;0.04752823370274156;freak;2419.0;2579.8;0.014087655920304216;L2;BF;192.4;729.4;0.39543244800000005;0.5529764109915386;7.7405786953646585;0.07953699875981812;0.2205406112252896;0.079775247155831;0.11639941083557581;nan;nan;nan
akaze;2419.0;2579.8;0.04752823370274156;brief;2419.0;2579.8;0.0038377971157508295;L2;BF;88.6;876.6;0.27848237519999997;0.31787213013290877;6.4802809504664065;0.03662670525010335;0.09580432621938992;0.0368789682576464;0.05295415166068192;nan;nan;nan
akaze;2419.0;2579.8;0.04752823370274156;lucid;2419.0;2579.8;0.006410658862942132;L2;BF;71.2;955.6;0.7312685206000001;0.7689180839708827;14.728921267885642;0.029433650268706073;0.0705177388444228;0.029685913276249126;0.041427515107043435;nan;nan;nan
akaze;2419.0;2579.8;0.04752823370274156;latch;2419.0;2579.8;0.0017432823029809347;L2;BF;43.8;1189.4;0.1703379896;0.14331400412804268;3.9091135592599073;0.018106655642827617;0.03675966877318292;0.01837994056766592;0.02425084091286182;nan;nan;nan
akaze;2419.0;2579.8;0.04752823370274156;vgg;2419.0;2579.8;0.9684970391788197;L2;BF;512.8;948.4;2.7299765412;3.086027404460668;27.636913676089478;0.21198842496899545;0.43710592281505356;0.2121846295304178;0.28249510012941276;nan;nan;nan
akaze;2419.0;2579.8;0.04752823370274156;beblid;2419.0;2579.8;0.007864784914733237;L2;BF;255.4;824.0;0.3751541144;0.4668466424059705;7.038720000898662;0.10558081852004961;0.2519179693538143;0.1057630084699418;0.14796981799996328;nan;nan;nan
akaze;2419.0;2579.8;0.04752823370274156;teblid;2419.0;2579.8;0.004594161176884738;L2;BF;161.8;893.6;0.2654728958;0.2990487805327329;5.54665462282828;0.06688714344770566;0.16159864821668224;0.06711137723218838;0.0944332453098696;nan;nan;nan
akaze;2419.0;2579.8;0.04752823370274156;boost;2419.0;2579.8;0.21801067653997924;L2;BF;238.0;820.0;0.813572969;1.0193824348865763;17.670462759750013;0.09838776353865233;0.23717883178246094;0.09859097540583979;0.13847177451445833;nan;nan;nan
orb;7972.0;12275.2;0.002317467767181845;sift;7972.0;12275.2;0.44423079822233136;L2;BF;732.6;1483.2;9.7041655378;9.588694074231148;127.38789100460035;0.09189663823381836;0.33719008452419;0.09189663823381836;0.1414249459164001;nan;nan;nan
orb;nan;nan;nan;akaze;nan;nan;nan;L2;BF;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
orb;7972.0;12275.2;0.002317467767181845;orb;7972.0;12275.2;0.002975089875551952;L2;BF;565.4;3184.4;1.9476807386000001;0.6121210761984534;13.81579783579787;0.07092323130958353;0.17116750954545557;0.07092323130958353;0.1002510778666861;nan;nan;nan
orb;7972.0;12275.2;0.002317467767181845;brisk;7134.0;10317.8;0.015825570365137195;L2;BF;88.2;2483.4;2.7393803740000005;1.136186373899116;34.03176169053562;0.011063723030607124;0.03495155378588927;0.011063723030607124;0.01673274850970726;nan;nan;nan
orb;nan;nan;nan;kaze;nan;nan;nan;L2;BF;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
