k;Detector;Keypoint1-GT;Keypoint2;Detect Time;1K Detect Time;Descriptor;Descriptor1-GT;Descriptor2;Descript Time;1K Descript Time;Norm.;Matcher;Inliers;All Matches;Match Time;Total Time;1K Match Tot. Time;1K Inliers Time;Recall;Precision;Repeatibility;F1-Score;Reprojection Error;3D Points;Reconstruction Time
0;sift;5580.0;6486.0;0.074678104;0.011513737897008942;sift;5580.0;6486.0;0.079939029;0.012324858001850137;L2;BF;3246.0;3596.0;0.077654715;0.232271848;0.06459172636262514;0.07155633025261861;0.5817204301075268;0.9026696329254728;0.5817204301075268;0.7074978204010461;nan;nan;nan
0;sift;nan;nan;nan;nan;akaze;nan;nan;nan;nan;L2;BF;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
0;sift;nan;nan;nan;nan;orb;nan;nan;nan;nan;L2;BF;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
0;sift;5580.0;6486.0;0.074678104;0.011513737897008942;brisk;5310.0;6196.0;0.049312341;0.007958738056810846;L2;BF;2507.0;2806.0;0.133070367;0.25706081199999997;0.09161112330719884;0.10253722058236936;0.4492831541218638;0.8934426229508197;0.4492831541218638;0.5979012640114476;nan;nan;nan
0;sift;nan;nan;nan;nan;kaze;nan;nan;nan;nan;L2;BF;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
0;sift;5580.0;6486.0;0.074678104;0.011513737897008942;daisy;5580.0;6486.0;0.083953576;0.01294381375269812;L2;BF;3170.0;3223.0;0.129290316;0.287921996;0.08933353893887683;0.09082712807570979;0.568100358422939;0.9835556934533044;0.568100358422939;0.7202090196523913;nan;nan;nan
0;sift;5580.0;6486.0;0.074678104;0.011513737897008942;freak;5104.0;5949.0;0.028379206;0.004770416204404102;L2;BF;1920.0;2348.0;0.124889179;0.227946489;0.09708112819420785;0.1187221296875;0.34408602150537637;0.817717206132879;0.34408602150537637;0.48435923309788104;nan;nan;nan
0;sift;5580.0;6486.0;0.074678104;0.011513737897008942;brief;4934.0;5775.0;0.011302468;0.001957137316017316;L2;BF;1662.0;2634.0;0.049544123;0.135524695;0.05145204821564161;0.08154313778580025;0.2978494623655914;0.6309794988610479;0.2978494623655914;0.40467494521548575;nan;nan;nan
0;sift;5580.0;6486.0;0.074678104;0.011513737897008942;lucid;5580.0;6486.0;0.020965344;0.003232399629972248;L2;BF;1410.0;2344.0;0.321837715;0.41748116300000004;0.17810629820819113;0.2960859312056738;0.25268817204301075;0.6015358361774744;0.25268817204301075;0.3558808682483594;nan;nan;nan
0;sift;5580.0;6486.0;0.074678104;0.011513737897008942;latch;5018.0;5865.0;0.005785437;0.0009864342710997442;L2;BF;107.0;2678.0;0.024640921;0.105104462;0.039247371919342786;0.9822846915887851;0.019175627240143368;0.039955190440627335;0.019175627240143368;0.02591426495519496;nan;nan;nan
0;sift;5580.0;6486.0;0.074678104;0.011513737897008942;vgg;5580.0;6486.0;0.366880421;0.056564973943879125;L2;BF;3251.0;3633.0;0.06588171;0.507440235;0.1396752642444261;0.15608743002153186;0.5826164874551971;0.8948527387833746;0.5826164874551971;0.7057418864647781;nan;nan;nan
0;sift;5580.0;6486.0;0.074678104;0.011513737897008942;beblid;5580.0;6486.0;0.00708611;0.0010925238976256552;L2;BF;1996.0;2737.0;0.197561431;0.279325645;0.10205540555352577;0.13994270791583166;0.35770609318996416;0.7292656192911947;0.35770609318996416;0.4799807622940964;nan;nan;nan
0;sift;5580.0;6486.0;0.074678104;0.011513737897008942;teblid;5580.0;6486.0;0.003631498;0.0005598979340117175;L2;BF;1285.0;2632.0;0.137082457;0.21539205899999997;0.08183588867781154;0.16762027937743187;0.2302867383512545;0.48822188449848025;0.2302867383512545;0.3129566488066245;nan;nan;nan
0;sift;5580.0;6486.0;0.074678104;0.011513737897008942;boost;5580.0;6486.0;0.063138509;0.009734583564600678;L2;BF;1329.0;2486.0;0.127682047;0.26549866;0.1067975301689461;0.19977325808878854;0.23817204301075268;0.5345937248592116;0.23817204301075268;0.3295313662286139;nan;nan;nan
0;akaze;2228.0;2187.0;0.056145755;0.02567249885688157;sift;2228.0;2187.0;0.022307669;0.010200122999542751;L2;BF;2043.0;2046.0;0.02032749;0.098780914;0.04828001661779081;0.04835091238374938;0.9169658886894075;0.998533724340176;0.934156378600823;0.9560131024801122;nan;nan;nan
0;akaze;2228.0;2187.0;0.056145755;0.02567249885688157;akaze;2228.0;2187.0;0.050287392;0.02299377777777778;L2;BF;1976.0;1976.0;0.026279833;0.13271298;0.06716243927125506;0.06716243927125506;0.8868940754039497;1.0;0.9035208047553727;0.9400570884871551;nan;nan;nan
0;akaze;2228.0;2187.0;0.056145755;0.02567249885688157;orb;2217.0;2176.0;0.007091817;0.0032591070772058825;L2;BF;1702.0;1834.0;0.024818527;0.088056099;0.048013140130861505;0.051736838425381904;0.7639138240574507;0.9280261723009815;0.7782350251486054;0.8380108321024126;nan;nan;nan
0;akaze;2228.0;2187.0;0.056145755;0.02567249885688157;brisk;2228.0;2187.0;0.018173502;0.008309786008230452;L2;BF;2031.0;2034.0;0.033894591;0.108213848;0.05320248180924287;0.05328106745445593;0.9115798922800719;0.9985250737463127;0.9286694101508917;0.9530736743312999;nan;nan;nan
0;akaze;2228.0;2187.0;0.056145755;0.02567249885688157;kaze;2228.0;2187.0;0.139115948;0.06361040146319158;L2;BF;0.0;0.0;0.007681234;0.202942937;0.0;0.0;0.0;0.0;0.0;0.0;nan;nan;nan
0;akaze;2228.0;2187.0;0.056145755;0.02567249885688157;daisy;2228.0;2187.0;0.07462025;0.03411991312299954;L2;BF;2091.0;2091.0;0.02555002;0.156316025;0.07475658775705404;0.07475658775705404;0.9385098743267505;1.0;0.9561042524005487;0.9682796943736977;nan;nan;nan
0;akaze;2228.0;2187.0;0.056145755;0.02567249885688157;freak;2228.0;2187.0;0.010760508;0.004920213991769547;L2;BF;1821.0;1847.0;0.034377735;0.10128399799999999;0.054837031943692466;0.055619987918725966;0.8173249551166966;0.9859231185706551;0.8326474622770919;0.8937423312883435;nan;nan;nan
0;akaze;2228.0;2187.0;0.056145755;0.02567249885688157;brief;2228.0;2187.0;0.00452365;0.002068427069044353;L2;BF;1536.0;1592.0;0.019485355;0.08015475999999999;0.05034846733668341;0.05218408854166666;0.6894075403949731;0.964824120603015;0.7023319615912208;0.8041884816753927;nan;nan;nan
0;akaze;2228.0;2187.0;0.056145755;0.02567249885688157;lucid;2228.0;2187.0;0.008358372;0.003821843621399176;L2;BF;1541.0;1644.0;0.056294816;0.12079894299999999;0.07347867579075425;0.07838996950032447;0.6916517055655296;0.9373479318734793;0.7046181984453589;0.7959710743801652;nan;nan;nan
0;akaze;2228.0;2187.0;0.056145755;0.02567249885688157;latch;2228.0;2187.0;0.002377171;0.0010869551897576587;L2;BF;808.0;1313.0;0.057765355;0.116288281;0.08856685529322163;0.14392113985148514;0.362657091561939;0.6153846153846154;0.3694558756287151;0.4563682575543632;nan;nan;nan
0;akaze;2228.0;2187.0;0.056145755;0.02567249885688157;vgg;2228.0;2187.0;0.125849194;0.0575442130772748;L2;BF;2053.0;2054.0;0.016672028;0.198666977;0.09672199464459591;0.09676910716025328;0.9214542190305206;0.9995131450827653;0.9387288523090992;0.9588977113498366;nan;nan;nan
0;akaze;2228.0;2187.0;0.056145755;0.02567249885688157;beblid;2228.0;2187.0;0.003214035;0.0014696090534979426;L2;BF;1954.0;1957.0;0.033074461;0.092434251;0.04723262698007154;0.0473051438075742;0.8770197486535009;0.9984670413898825;0.893461362597165;0.9338112305854241;nan;nan;nan
0;akaze;2228.0;2187.0;0.056145755;0.02567249885688157;teblid;2228.0;2187.0;0.001492994;0.0006826675811614084;L2;BF;1840.0;1857.0;0.022249162;0.07988791099999999;0.04301987668282175;0.0434173429347826;0.8258527827648114;0.9908454496499731;0.8413351623228167;0.9008567931456548;nan;nan;nan
0;akaze;2228.0;2187.0;0.056145755;0.02567249885688157;boost;2228.0;2187.0;0.022788238;0.01041986191129401;L2;BF;1631.0;1679.0;0.016894517;0.09582850999999999;0.05707475282906491;0.05875445125689761;0.7320466786355476;0.9714115544967242;0.7457704618198445;0.8349116969541848;nan;nan;nan
0;orb;22448.0;22265.0;0.021810894;0.0009796044913541434;sift;22448.0;22265.0;0.462368938;0.020766626454075905;L2;BF;15681.0;16114.0;0.923311193;1.4074910250000001;0.08734584988209011;0.08975773388176775;0.6985477548111191;0.9731289561871664;0.7042892432068268;0.8132876925470671;nan;nan;nan
0;orb;nan;nan;nan;nan;akaze;nan;nan;nan;nan;L2;BF;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
0;orb;22448.0;22265.0;0.021810894;0.0009796044913541434;orb;22448.0;22265.0;0.035855678;0.001610405479452055;L2;BF;13748.0;14646.0;0.93851615;0.996182722;0.06801739191588148;0.07246019217340703;0.6124376336421953;0.9386863307387683;0.6174713676173367;0.7412519544939883;nan;nan;nan
0;orb;22448.0;22265.0;0.021810894;0.0009796044913541434;brisk;19800.0;19732.0;0.171599445;0.008696505422663694;L2;BF;2043.0;15481.0;1.414314701;1.6077250399999998;0.10385149796524772;0.7869432403328438;0.09101033499643621;0.1319682191072928;0.09175836514709185;0.10772759629834691;nan;nan;nan
0;orb;nan;nan;nan;nan;kaze;nan;nan;nan;nan;L2;BF;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
0;orb;22448.0;22265.0;0.021810894;0.0009796044913541434;daisy;22448.0;22265.0;0.120608888;0.0054169722883449355;L2;BF;14553.0;14562.0;1.543053517;1.6854732989999999;0.11574462978986402;0.11581620964749535;0.6482982893799002;0.9993819530284301;0.6536267684706939;0.7864360983517967;nan;nan;nan
0;orb;22448.0;22265.0;0.021810894;0.0009796044913541434;freak;13730.0;13993.0;0.09198843;0.006573889087400843;L2;BF;270.0;10000.0;0.6969275;0.8107268240000001;0.0810726824;3.002691940740741;0.012027797576621525;0.027;0.012126656186840333;0.016642011834319525;nan;nan;nan
