k;Detector;Keypoint1-GT;Keypoint2;Detect Time;1K Detect Time;Descriptor;Descriptor1-GT;Descriptor2;Descript Time;1K Descript Time;Norm.;Matcher;Inliers;All Matches;Match Time;Total Time;1K Match Tot. Time;1K Inliers Time;Recall;Precision;Repeatibility;F1-Score;Reprojection Error;3D Points
0;sift;8820.0;8532.0;0.203590469;0.023861986521331455;sift;8820.0;8532.0;0.313347291;0.0367261241209564;L2;BF;2841.0;3912.0;3.027898749;3.5448365089999996;0.9061443018916154;1.2477425234072508;0.322108843537415;0.7262269938650306;0.3329817158931083;0.44627709707822805;nan;
0;sift;nan;nan;nan;nan;akaze;nan;nan;nan;nan;L2;BF;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;
0;sift;nan;nan;nan;nan;orb;nan;nan;nan;nan;L2;BF;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;
0;sift;8820.0;8532.0;0.203590469;0.023861986521331455;brisk;8468.0;8230.0;0.078008855;0.009478597205346296;L2;BF;161.0;2810.0;1.878096301;2.159695625;0.7685749555160143;13.41425854037267;0.018253968253968255;0.057295373665480424;0.018870135958743553;0.027687016337059334;nan;
0;sift;nan;nan;nan;nan;kaze;nan;nan;nan;nan;L2;BF;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;
0;sift;8820.0;8532.0;0.203590469;0.023861986521331455;daisy;8820.0;8532.0;0.191242344;0.022414714486638537;L2;BF;3358.0;3621.0;4.802625519;5.197458332;1.4353654603700636;1.5477838987492556;0.38072562358276646;0.9273681303507318;0.39357712142522266;0.5398279881038502;nan;
0;sift;8820.0;8532.0;0.203590469;0.023861986521331455;freak;8200.0;7950.0;0.068581354;0.00862658540880503;L2;BF;145.0;2367.0;1.741767396;2.013939219;0.8508403967046896;13.889235993103448;0.016439909297052153;0.06125897760878749;0.016994842944210033;0.025922946276928576;nan;
0;sift;8820.0;8532.0;0.203590469;0.023861986521331455;brief;7989.0;7766.0;0.011870781;0.0015285579448879733;L2;BF;80.0;3050.0;1.005155781;1.220617031;0.4002023052459016;15.2577128875;0.009070294784580499;0.02622950819672131;0.009376465072667605;0.013479359730412806;nan;
0;sift;8820.0;8532.0;0.203590469;0.023861986521331455;lucid;8820.0;8532.0;0.021017395;0.0024633608766994842;L2;BF;109.0;2978.0;5.384852655;5.609460519000001;1.8836334852249834;51.46294054128441;0.01235827664399093;0.036601746138347886;0.01277543366150961;0.01847770808611629;nan;
0;sift;8820.0;8532.0;0.203590469;0.023861986521331455;latch;8105.0;7853.0;0.007541562;0.0009603415255316439;L2;BF;100.0;3834.0;0.260413386;0.471545417;0.1229904582681273;4.71545417;0.011337868480725623;0.02608242044861763;0.011720581340834505;0.015805278963173703;nan;
0;sift;8820.0;8532.0;0.203590469;0.023861986521331455;vgg;8820.0;8532.0;6.582078591;0.7714578751758087;L2;BF;2252.0;3677.0;1.264195104;8.049864164;2.189247800924667;3.574540037300178;0.25532879818594106;0.6124558063638836;0.26394749179559307;0.3604064975594143;nan;
0;sift;8820.0;8532.0;0.203590469;0.023861986521331455;beblid;8820.0;8532.0;0.039405364;0.004618537740271917;L2;BF;880.0;2791.0;2.310500624;2.553496457;0.9149037825152275;2.9017005193181817;0.09977324263038549;0.31529917592260837;0.10314111579934365;0.15158039789854447;nan;
0;sift;8820.0;8532.0;0.203590469;0.023861986521331455;teblid;8820.0;8532.0;0.021546094;0.0025253274730426627;L2;BF;449.0;2948.0;1.114232812;1.339369375;0.4543315383310719;2.983005289532294;0.05090702947845805;0.1523066485753053;0.05262541022034693;0.07630863358259687;nan;
0;sift;8820.0;8532.0;0.203590469;0.023861986521331455;boost;8820.0;8532.0;1.620035937;0.18987762974683545;L2;BF;789.0;2998.0;1.145190832;2.9688172379999997;0.9902659232821881;3.7627594904942963;0.08945578231292517;0.2631754503002001;0.09247538677918425;0.13352513115586392;nan;
0;akaze;4467.0;4413.0;0.116160104;0.02632225334239746;sift;4467.0;4413.0;0.19885599;0.045061407205982326;L2;BF;2607.0;2734.0;0.739214791;1.054230885;0.3856001773957571;0.4043846892980437;0.5836131631967764;0.9535479151426481;0.5907545887151597;0.7240661019302874;nan;
0;akaze;4467.0;4413.0;0.116160104;0.02632225334239746;akaze;4467.0;4413.0;0.136626979;0.030960113075005666;L2;BF;1756.0;2186.0;0.861065261;1.113852344;0.5095390411710888;0.6343122687927107;0.3931049921647638;0.8032936870997255;0.3979152503965556;0.5278821584247707;nan;
0;akaze;4467.0;4413.0;0.116160104;0.02632225334239746;orb;4448.0;4399.0;0.013448698;0.0030572170947942715;L2;BF;62.0;1647.0;0.308588385;0.438197187;0.2660577941712204;7.06769656451613;0.01387956122677412;0.03764420157862781;0.014049399501472921;0.020281321557082108;nan;
0;akaze;4467.0;4413.0;0.116160104;0.02632225334239746;brisk;4467.0;4413.0;0.04465526;0.010119025606163609;L2;BF;1343.0;1908.0;0.548368802;0.709184166;0.37168981446540883;0.5280596917349218;0.30064920528318784;0.7038784067085954;0.3043281214593247;0.42133333333333334;nan;
