Detector;Keypoint1;Keypoint2;1K Detect Time;Descriptor;Descriptor1;Descriptor2;1K Descript Time;Norm.;Matcher;Reprojection Error;Inliers;All Matches;Total Time;1K Match Tot. Time;1K Inliers Time;Recall;Precision;Repeatibility;F1-Score
sift;2492.0;1629.8;0.10063390163468562;sift;2492.0;1629.8;0.09895011580504512;L2;BF;nan;803.8;960.6;0.43838831280000007;0.47731062447562067;0.5931207227647382;0.3225521669341894;0.8218013243705304;0.48163204700217455;0.45782285388860977
sift;nan;nan;nan;akaze;nan;nan;nan;L2;BF;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
sift;nan;nan;nan;orb;nan;nan;nan;L2;BF;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
sift;2492.0;1629.8;0.10063390163468562;brisk;2315.0;1501.0;0.011080448834632823;L2;BF;nan;269.8;772.8;0.2922761462;0.39249721789488595;1.397573464852656;0.10826645264847512;0.3261726421643209;0.15493385879914456;0.16099256188189967
sift;nan;nan;nan;kaze;nan;nan;nan;L2;BF;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
sift;2492.0;1629.8;0.10063390163468562;daisy;2492.0;1629.8;0.0955739179847314;L2;BF;nan;339.8;478.0;0.5363289062000001;1.4334315003864957;2.8856801141741633;0.13635634028892457;0.6085468277041036;0.18510822232588187;0.21410313938996475
sift;2492.0;1629.8;0.10063390163468562;freak;2199.0;1387.2;0.009709274392469899;L2;BF;nan;146.8;638.2;0.2734597916;0.4496510388919438;3.2324034008627534;0.05890850722311396;0.20298075614820257;0.08075473141531159;0.09054382900385925
sift;2492.0;1629.8;0.10063390163468562;brief;2110.0;1323.0;0.003254467615610254;L2;BF;nan;84.2;724.6;0.2235563334;0.3148551665551533;3.6386900079392985;0.03378812199036919;0.10792966767371144;0.0477682670634555;0.05120761861298341
sift;2492.0;1629.8;0.10063390163468562;lucid;2492.0;1629.8;0.005205991404618077;L2;BF;nan;26.0;421.2;0.46922465620000003;1.1570721689485652;18.4813720580811;0.01043338683788122;0.06280183893802495;0.015970035853375312;0.01772517273981016
sift;2492.0;1629.8;0.10063390163468562;latch;2165.0;1357.2;0.0019600983159636766;L2;BF;nan;34.4;827.8;0.18270547960000003;0.22449399005623655;5.320054094519788;0.013804173354735152;0.04217878020132013;0.02178076270260817;0.020712154982629804
sift;2492.0;1629.8;0.10063390163468562;vgg;2492.0;1629.8;0.6993634167822848;L2;BF;nan;612.6;879.6;1.3613620412;1.6210184270427053;2.955603867827628;0.24582664526484752;0.6364198421564267;0.34748295919475136;0.348740951467687
sift;2492.0;1629.8;0.10063390163468562;beblid;2492.0;1629.8;0.006502341484163253;L2;BF;nan;456.6;775.6;0.2954693548;0.3890201341131473;0.7414874306352303;0.1832263242375602;0.5651439420512969;0.2688012095227215;0.27491171037377904
sift;2492.0;1629.8;0.10063390163468562;teblid;2492.0;1629.8;0.004039776040517669;L2;BF;nan;248.8;736.4;0.2409889584;0.3332502700199369;1.1922924770665666;0.0998394863563403;0.31832802050020015;0.14393866710537914;0.1510759122788607
sift;2492.0;1629.8;0.10063390163468562;boost;2492.0;1629.8;0.16489383242584907;L2;BF;nan;443.2;798.8;0.5010301460000001;0.642557121909576;1.3462289049920182;0.17784911717495988;0.5234419527384121;0.2571021312731134;0.2629366511638386
akaze;1507.0;743.8;0.16961022343147658;sift;1507.0;743.8;0.09683302537736313;L2;BF;nan;569.6;597.0;0.21635682259999997;0.40350342359339797;0.43197476435647275;0.3779694757796948;0.943419459760506;0.7486335810439539;0.5261941085562423
akaze;1507.0;743.8;0.16961022343147658;akaze;1507.0;743.8;0.14394526524498022;L2;BF;nan;529.4;575.0;0.26267447939999994;0.5061053891144615;0.5738802940725183;0.35129396151293957;0.902033186045449;0.6929716654642142;0.49430100174902136
akaze;1507.0;743.8;0.16961022343147658;orb;1500.0;736.2;0.012034605839808784;L2;BF;nan;206.8;469.6;0.149276854;0.3584381555104401;1.0733540951962708;0.13722627737226276;0.40022027992823855;0.25253176644068853;0.20008301942329018
akaze;1507.0;743.8;0.16961022343147658;brisk;1507.0;743.8;0.013344093320923378;L2;BF;nan;465.8;526.0;0.1657685412;0.3548062004303706;0.42830554399526816;0.30909090909090914;0.8571081843265294;0.5978985941701124;0.4424507891419901
akaze;1507.0;743.8;0.16961022343147658;kaze;1507.0;743.8;0.4073875239799099;L2;BF;nan;422.8;437.6;0.41374291660000007;1.0519240135210564;1.1116314608149946;0.28055739880557395;0.9566543735270612;0.5600984973401965;0.4256564125707965
