Detector;Keypoint1;Keypoint2;1K Detect Time;Descriptor;Descriptor1;Descriptor2;1K Descript Time;Norm.;Matcher;Inliers;All Matches;Total Time;1K Match Tot. Time;1K Inliers Time;Recall;Precision;Repeatibility;F1-Score;Reprojection Error;3DPoints
sift;6541.5;6257.2;0.02141398048935094;sift;6541.5;6257.2;0.01935743758817772;L2;BF;1325.7;2564.7;0.3366893043;0.13434003952706197;0.3136486903614334;0.22497286727705879;0.5498299853043134;0.23434102630741496;0.31869874518174574;nan;
sift;nan;nan;nan;akaze;nan;nan;nan;L2;BF;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;
sift;nan;nan;nan;orb;nan;nan;nan;L2;BF;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;
sift;6541.5;6257.2;0.02141398048935094;brisk;6213.4;5957.9;0.008323377683735518;L2;BF;346.3;1802.0;0.3356703796;0.18250298487014632;3.304013877882307;0.04986841881556446;0.17321848422838054;0.05250962886320369;0.07727006188843852;nan;
sift;nan;nan;nan;kaze;nan;nan;nan;L2;BF;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;
sift;6541.5;6257.2;0.02141398048935094;daisy;6541.5;6257.2;0.02204839440920679;L2;BF;1583.4;1994.8;0.40094820059999997;0.2042033004037726;0.26861746589926744;0.260012902236035;0.7901021316161504;0.27142724691830483;0.3874455192846108;nan;
sift;6541.5;6257.2;0.02141398048935094;freak;5944.2;5700.0;0.0050865182448101166;L2;BF;195.8;1566.7;0.30073155539999996;0.18809805206677713;3.213934191762566;0.0277140998683628;0.11133237789366127;0.028886372409949363;0.0443061190134305;nan;
sift;6541.5;6257.2;0.02141398048935094;brief;5788.0;5553.7;0.0020372084423441886;L2;BF;69.7;2224.8;0.1877624667;0.08920529361276705;3.2318349124537407;0.01163361455879852;0.03404810701452806;0.012073055886364056;0.017339055587064015;nan;
sift;6541.5;6257.2;0.02741902774834255;lucid;6541.5;6257.2;0.0035194790233430188;L2;BF;115.6;2036.8;0.569399358;0.26539129339247947;8.110399666704236;0.02126007786893505;0.061185017083057944;0.021766881112328912;0.03149904211293217;nan;
sift;6541.5;6257.2;0.02141398048935094;latch;5878.0;5634.8;0.001062130222114226;L2;BF;61.6;2764.7;0.15632319249999999;0.06093769570799342;2.6993894309925266;0.009676132842076806;0.02273356074533212;0.010139901058346784;0.013571818950155665;nan;
sift;6541.5;6257.2;0.02141398048935094;vgg;6541.5;6257.2;0.05705340807799717;L2;BF;1275.2;2609.5;0.5522106046;0.21197820724029964;0.4902458184464654;0.21636500009341608;0.5154285536691117;0.22557824093325354;0.3041284803130348;nan;
sift;6541.5;6257.2;0.02141398048935094;beblid;6541.5;6257.2;0.0010911594620325613;L2;BF;471.5;1925.4;0.3628948848;0.17972995732213803;1.5660425770790323;0.08207128618852086;0.26395968556685884;0.08584909238203667;0.12506538556257685;nan;
sift;6541.5;6257.2;0.02141398048935094;teblid;6541.5;6257.2;0.000595929867608097;L2;BF;218.9;2216.9;0.22325403559999998;0.10236546756542668;1.8382105270381792;0.03782105343946914;0.1092709336438035;0.039844104846170535;0.056182613560872285;nan;
sift;6541.5;6257.2;0.02141398048935094;boost;6541.5;6257.2;0.009707111934068285;L2;BF;325.5;2117.2;0.2780313856;0.13247382642071612;1.6100094464936643;0.05842421010970922;0.17633776629040182;0.06123928277640328;0.08774482814558604;nan;
akaze;3680.8;3442.9;0.029942262517726775;sift;3680.8;3442.9;0.010436216608840138;L2;BF;1370.3;1660.4;0.16285713080000003;0.10186342355107499;0.1343270356001042;0.4005311345525911;0.8141333938437791;0.4232136205472573;0.5301455724394357;nan;
akaze;3680.8;3442.9;0.029942262517726775;akaze;3680.8;3442.9;0.025136477489285557;L2;BF;977.5;1584.5;0.2329936549;0.15191212996414408;0.3061571253708969;0.2896000237255928;0.6161466137347653;0.3052634325685242;0.39126053754716333;nan;
akaze;3680.8;3442.9;0.029942262517726775;orb;3661.3;3423.4;0.002469263506273886;L2;BF;128.3;1309.8;0.1432168067;0.11451452365474799;1.8169906856983928;0.04049282582900639;0.10361162309936245;0.04212386859197996;0.05804524635243018;nan;
akaze;3680.8;3442.9;0.029942262517726775;brisk;3680.8;3442.9;0.008285820422182994;L2;BF;754.2;1352.9;0.1900156267;0.14304932061203496;0.39632717387386573;0.2240191240623739;0.5582046463421126;0.23601946002999977;0.31763176118954745;nan;
akaze;nan;nan;nan;kaze;nan;nan;nan;L2;BF;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;
akaze;3680.8;3442.9;0.029942262517726775;daisy;3680.8;3442.9;0.035183316117529756;L2;BF;1446.5;1655.9;0.2612289901;0.1680378881567253;0.19920621196634272;0.41577126298465233;0.8654587224611026;0.44015810243527936;0.5528656719104441;nan;
akaze;3680.8;3442.9;0.029942262517726775;freak;3680.8;3442.9;0.0049561603898946125;L2;BF;541.1;1199.4;0.1817011409;0.15310884253530627;0.4581046182168662;0.1609016016191639;0.45097012793890767;0.1694121114992319;0.23587299120829233;nan;
akaze;3680.8;3442.9;0.029942262517726775;brief;3680.8;3442.9;0.0021708748578521076;L2;BF;287.2;1372.9;0.133435903;0.1029867511670682;0.9187950651778408;0.08592134311525447;0.2204027114179917;0.09023901871799082;0.12355525477949234;nan;
akaze;3680.8;3442.9;0.024732968641659497;lucid;3680.8;3442.9;0.004073440891166615;L2;BF;111.1;1387.4;0.2228776941;0.15861551322182615;3.836270133097899;0.03999629874831227;0.09532265745227068;0.04150894564649582;0.05622050371050987;nan;
akaze;3680.8;3442.9;0.029942262517726775;latch;3680.8;3442.9;0.0011659633009482413;L2;BF;59.2;1713.1;0.1153697154;0.07275718382640936;2.1032905571333793;0.018104377032108956;0.03858922913393713;0.01909299052077073;0.024640842098389175;nan;
akaze;3680.8;3442.9;0.029942262517726775;vgg;3680.8;3442.9;0.05738753939375278;L2;BF;1300.0;1719.7;0.3209635607;0.18966457102805276;0.28689766995408217;0.3854967390805125;0.7532441901944261;0.40717097062011154;0.5047172546332666;nan;
akaze;3680.8;3442.9;0.029942262517726775;beblid;3680.8;3442.9;0.0013926495370728033;L2;BF;690.7;1340.6;0.1786148449;0.13372985206973106;0.5526457213363948;0.2085402187872905;0.5156113248686699;0.21956186866973065;0.29491139952844064;nan;
akaze;3680.8;3442.9;0.029942262517726775;teblid;3680.8;3442.9;0.0007165088448197595;L2;BF;420.7;1380.0;0.13735582699999999;0.10359508056134656;0.4671331513631934;0.12845138008929574;0.319668752209053;0.13482722873483197;0.18284792661283453;nan;
akaze;3680.8;3442.9;0.029942262517726775;boost;3680.8;3442.9;0.010134270702282538;L2;BF;459.4;1294.5;0.16660191920000003;0.13133297681347741;0.7441700046129399;0.1413810634867898;0.3723384823072903;0.14875726817940152;0.20420215843432868;nan;
orb;24441.6;24070.9;0.001172528596617672;sift;24441.6;24070.9;0.019935289956282673;L2;BF;4761.0;7024.0;1.6114571146999999;0.24717660047050588;0.40528170103909256;0.20400824234133524;0.6651415371131423;0.20814840774734028;0.308105128322506;nan;
orb;nan;nan;nan;akaze;nan;nan;nan;L2;BF;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;
orb;24441.6;24070.9;0.001172528596617672;orb;24441.6;24070.9;0.001470728505065179;L2;BF;2158.4;8201.1;1.1876526027000003;0.1413556455792406;1.2667902596080494;0.0923672942786671;0.2704242656277852;0.09415361840896473;0.13764554334694007;nan;
orb;24441.6;24070.9;0.001172528596617672;brisk;21684.2;21330.7;0.009132106691942622;L2;BF;304.3;7268.0;1.8879728843999999;0.2617068738115128;8.730282792656027;0.014068380390872135;0.04258026999455535;0.014399330718517091;0.02098783055795791;nan;
orb;nan;nan;nan;kaze;nan;nan;nan;L2;BF;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;
orb;24441.6;24070.9;0.001172528596617672;daisy;24441.6;24070.9;0.008216181380740737;L2;BF;6023.7;6729.3;2.1830228296;0.34311810181071334;0.4072558759769508;0.25329230256792623;0.8807363153099199;0.257986189073298;0.38813817655680005;nan;
orb;24441.6;24070.9;0.001172528596617672;freak;16185.9;15869.3;0.0067631581760042355;L2;BF;249.5;4599.4;1.0688364;0.2363311436808774;8.04332303940807;0.01220257426005785;0.054260104612341375;0.012484504953892977;0.01976238993711959;nan;
orb;24441.6;24070.9;0.001172528596617672;brief;24441.6;24070.9;0.001897717693936061;L2;BF;1253.0;8437.1;0.6906487116;0.08001560509588557;0.9205683374243199;0.05377190553920903;0.1552872783780686;0.05486040884582647;0.0798734419937214;nan;
orb;24441.6;24070.9;0.0011425031806760685;lucid;24441.6;24070.9;0.0035262516519238194;L2;BF;570.6;7313.6;5.0429316398;0.6728091885423239;17.205945577777392;0.026312114554853272;0.08375124671042479;0.026946614323541285;0.04001212019822664;nan;
