k;Detector;Keypoint1-GT;Keypoint2;Detect Time;1K Detect Time;Descriptor;Descriptor1-GT;Descriptor2;Descript Time;1K Descript Time;Norm.;Matcher;Inliers;All Matches;Match Time;Total Time;1K Match Tot. Time;1K Inliers Time;Recall;Precision;Repeatibility;F1-Score;Reprojection Error;3D Points;Reconstruction Time
0;sift;13300.0;11743.0;0.321716927;0.027396485310397685;sift;13300.0;11743.0;0.600120364;0.05110451877714383;L2;BF;2593.0;5051.0;6.955327133;7.877164424;1.5595257224312018;3.0378574716544544;0.1949624060150376;0.5133636903583448;0.22081239887592607;0.2826004032477794;nan;nan;nan
0;sift;nan;nan;nan;nan;akaze;nan;nan;nan;nan;L2;BF;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
0;sift;nan;nan;nan;nan;orb;nan;nan;nan;nan;L2;BF;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
0;sift;13300.0;11743.0;0.321716927;0.027396485310397685;brisk;12694.0;11220.0;0.146479584;0.013055221390374332;L2;BF;364.0;3564.0;4.915926248;5.384122759;1.510696621492705;14.791546041208793;0.02736842105263158;0.10213243546576879;0.03099718981520906;0.04316888045540797;nan;nan;nan
0;sift;nan;nan;nan;nan;kaze;nan;nan;nan;nan;L2;BF;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
0;sift;13300.0;11743.0;0.321716927;0.027396485310397685;daisy;13300.0;11743.0;0.310029739;0.0264012380992932;L2;BF;4050.0;4564.0;10.992366923;11.624113589;2.546913582164768;2.8701515034567904;0.30451127819548873;0.8873794916739702;0.34488631525163926;0.45342588446036725;nan;nan;nan
0;sift;13300.0;11743.0;0.321716927;0.027396485310397685;freak;12200.0;10811.0;0.12819026;0.011857391545647952;L2;BF;95.0;2907.0;4.552420623;5.00232781;1.7207870003439971;52.656082210526314;0.007142857142857143;0.032679738562091505;0.008089925913310057;0.011723329425556858;nan;nan;nan
0;sift;13300.0;11743.0;0.321716927;0.027396485310397685;brief;11920.0;10563.0;0.022192084;0.002100926252011739;L2;BF;76.0;4418.0;2.666816354;3.010725365;0.6814679413761883;39.614807434210526;0.005714285714285714;0.017202354006337708;0.006471940730648045;0.008578846370922226;nan;nan;nan
0;sift;13300.0;11743.0;0.321716927;0.027396485310397685;lucid;13300.0;11743.0;0.056511146;0.0048123261517499785;L2;BF;705.0;4280.0;14.530960463;14.909188536;3.483455265420561;21.14778515744681;0.05300751879699248;0.1647196261682243;0.06003576598824832;0.08020477815699659;nan;nan;nan
0;sift;13300.0;11743.0;0.321716927;0.027396485310397685;latch;12072.0;10693.0;0.014070729;0.0013158822594220518;L2;BF;99.0;5496.0;0.645711718;0.981499374;0.17858431113537118;9.91413509090909;0.007443609022556391;0.018013100436681223;0.00843055437281785;0.010534156203447543;nan;nan;nan
