Detector;Keypoint1;Keypoint2;1K Detect Time;Descriptor;Descriptor1;Descriptor2;1K Descript Time;Norm.;Matcher;Inliers;All Matches;Total Time;1K Match Tot. Time;1K Inliers Time;Recall;Precision;Repeatibility;F1-Score;Reprojection Error;3DPoints;Reconstruction Time
sift;13300.0;9152.6;0.047244207484656506;sift;13300.0;9152.6;0.06808588726606565;L2;BF;1374.6;3822.2;6.155856310199999;1.5314617240417288;5.817900627264355;0.10335338345864661;0.310235313462884;0.13933494945434616;0.1524862468922923;nan;nan;nan
sift;nan;nan;nan;akaze;nan;nan;nan;L2;BF;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
sift;nan;nan;nan;orb;nan;nan;nan;L2;BF;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
sift;13300.0;9152.6;0.047244207484656506;brisk;12694.0;8790.6;0.013050810759079953;L2;BF;148.8;2359.0;4.2839353216;2.045059877241744;53.089087307355456;0.01118796992481203;0.052946043415360786;0.014298242337573795;0.01784101373166054;nan;nan;nan
sift;nan;nan;nan;kaze;nan;nan;nan;L2;BF;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
sift;13300.0;9152.6;0.047244207484656506;daisy;13300.0;9152.6;0.04315121112090929;L2;BF;1616.4;2171.0;9.112609132200003;8.672882966943726;65.51151571572504;0.12153383458646616;0.4303476907549638;0.13304497677669697;0.18297310634358693;nan;nan;nan
sift;13300.0;9152.6;0.047244207484656506;freak;12200.0;8471.2;0.011896408545855261;L2;BF;58.2;2159.4;3.9835195612;1.8269897468281922;68.29574678056467;0.00437593984962406;0.02758737221989569;0.007030735373068283;0.007357998859950457;nan;nan;nan
sift;13300.0;9152.6;0.047244207484656506;brief;11920.0;8308.8;0.002408588247850565;L2;BF;71.6;3543.0;2.433180729;0.6636411950150799;32.54729513648461;0.0053834586466165405;0.0215992893030182;0.009823151606224316;0.008414139087447339;nan;nan;nan
sift;13300.0;9152.6;0.047244207484656506;lucid;13300.0;9152.6;0.005326885286390552;L2;BF;347.4;3348.6;11.6866427036;3.300492519077924;59.37996878866776;0.0261203007518797;0.08579917872515426;0.03314845303398785;0.03953377963383311;nan;nan;nan
sift;13300.0;9152.6;0.047244207484656506;latch;12072.0;8411.4;0.0014498343183635568;L2;BF;94.8;4470.6;0.8333893849999999;0.18845533249515356;8.694480154362946;0.00712781954887218;0.02197786445615208;0.012727466468008593;0.010511849668046264;nan;nan;nan
sift;13300.0;9152.6;0.047244207484656506;vgg;13300.0;9152.6;0.9515910993375492;L2;BF;1067.0;3709.8;11.079384527;2.915355428886623;51.802248120567015;0.08022556390977444;0.21200699546985646;0.09148871274593127;0.11549518835236927;nan;nan;nan
sift;13300.0;9152.6;0.047244207484656506;beblid;13300.0;9152.6;0.006769834699214219;L2;BF;220.4;2751.2;4.572327842000001;1.579336027633404;39.94935281259997;0.016571428571428574;0.07018845023316338;0.02218414605917555;0.02656808127383962;nan;nan;nan
sift;13300.0;9152.6;0.047244207484656506;teblid;13300.0;9152.6;0.0038340223725806056;L2;BF;68.6;3301.6;2.6711721868;0.7753514488472113;37.25694503334573;0.005157894736842106;0.022017209511574595;0.009481514863502488;0.008169915818896218;nan;nan;nan
sift;13300.0;9152.6;0.047244207484656506;boost;13300.0;9152.6;0.22721231068601583;L2;BF;87.6;3217.6;4.734785248;1.392573969403435;57.68546329513862;0.0065864661654135345;0.025500544957054137;0.010103255766351833;0.01025628060999478;nan;nan;nan
akaze;6115.0;4963.4;0.03565777436017907;sift;6115.0;4963.4;0.05904117251393457;L2;BF;1653.4;2144.8;1.690856552;0.8289072906318118;1.3001566828934332;0.27038430089942767;0.7174961242885793;0.31107404193854965;0.38634611540498254;nan;nan;nan
akaze;6115.0;4963.4;0.03565777436017907;akaze;6115.0;4963.4;0.039559107550501724;L2;BF;1148.0;2281.2;2.013091416;0.8853707812234717;2.016723933770309;0.1877350776778414;0.47656065617950666;0.21975782434784988;0.26731106910574687;nan;nan;nan
akaze;6115.0;4963.4;0.03565777436017907;orb;6078.0;4942.8;0.0046890161830100505;L2;BF;70.6;1789.0;0.7765959266;0.44489834960807684;12.930389051512611;0.011545380212591988;0.03740968225964716;0.013508513513358472;0.017444780097865577;nan;nan;nan
akaze;6115.0;4963.4;0.03565777436017907;brisk;6115.0;4963.4;0.01449328001926108;L2;BF;559.0;1520.8;1.3197795096;1.0126104867154488;10.179972135291383;0.09141455437448895;0.2783387035979973;0.09575208806669552;0.135646650113264;nan;nan;nan
akaze;6115.0;4963.4;0.03565777436017907;kaze;6115.0;4963.4;0.12254082709086118;L2;BF;987.6;1214.2;1.382190458;1.171700216267163;1.539119275027791;0.1615044971381848;0.7905835460269751;0.19446156363583447;0.2665043820111969;nan;nan;nan
akaze;6115.0;4963.4;0.03565777436017907;daisy;6115.0;4963.4;0.058448763194132405;L2;BF;1265.2;1545.8;2.4273016033999997;4.461090883614775;17.060932747026232;0.2069010629599346;0.5387981653108371;0.2108538618037758;0.276491479889132;nan;nan;nan
akaze;6115.0;4963.4;0.03565777436017907;freak;6115.0;4963.4;0.012998356330595715;L2;BF;364.2;1506.8;1.3005848951999999;0.889445293647784;10.770358432471816;0.05955846279640229;0.2006649196712774;0.06311460988828153;0.09136273068945484;nan;nan;nan
akaze;6115.0;4963.4;0.03565777436017907;brief;6115.0;4963.4;0.003738392542164682;L2;BF;255.4;2020.2;0.8435216348000001;0.41814270051699837;6.850657455109683;0.04176614881439084;0.11343528241166465;0.04542060054039483;0.06087998511547682;nan;nan;nan
akaze;6115.0;4963.4;0.03565777436017907;lucid;6115.0;4963.4;0.0060908861504713144;L2;BF;288.4;2136.4;3.0396786655999994;1.4263429272538413;19.798472693471275;0.04716271463614064;0.11905194202392885;0.051398011210896474;0.06720444312295941;nan;nan;nan
akaze;6115.0;4963.4;0.03565777436017907;latch;6115.0;4963.4;0.0016138876518161111;L2;BF;64.6;2656.4;0.3426102606;0.12961545781440803;5.377266978134314;0.010564186426819298;0.024218496814331865;0.013269923970538167;0.014641796179006433;nan;nan;nan
akaze;6115.0;4963.4;0.03565777436017907;vgg;6115.0;4963.4;0.968540515123031;L2;BF;1057.4;1917.0;5.4812892898;3.1486592244105536;25.29096421583161;0.17291905151267378;0.42675877090317593;0.18127773930024577;0.24295269229962044;nan;nan;nan
akaze;6115.0;4963.4;0.03565777436017907;beblid;6115.0;4963.4;0.007611720108184114;L2;BF;560.2;1728.2;1.2715762496;0.7483555833504355;3.3694557711844686;0.09161079313164348;0.2905381300611205;0.10232109576333029;0.1381500263515983;nan;nan;nan
akaze;6115.0;4963.4;0.03565777436017907;teblid;6115.0;4963.4;0.004551332857008626;L2;BF;312.0;1928.4;0.785006541;0.40881505682789215;5.62846064176386;0.051022076860179885;0.1433518369508013;0.05507020064281178;0.07502125648420983;nan;nan;nan
akaze;6115.0;4963.4;0.03565777436017907;boost;6115.0;4963.4;0.23667557491800703;L2;BF;260.8;1648.6;1.9443138951999999;1.1862992030542137;18.760435973568892;0.04264922322158626;0.13394073194980052;0.04534921445213275;0.06438657635171038;nan;nan;nan
orb;29788.0;23935.2;0.0023937109251361884;sift;29788.0;23935.2;0.39354510870779447;L2;BF;6925.0;11165.4;44.6726308896;3.9019347796669686;6.453701155584301;0.2324761648986169;0.6053848764040962;0.2878850166229029;0.3319073403220346;nan;nan;nan
orb;nan;nan;nan;akaze;nan;nan;nan;L2;BF;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
orb;29788.0;23935.2;0.0023937109251361884;orb;29788.0;23935.2;0.0028621351391967683;L2;BF;1624.2;8747.0;13.6377240374;1.5227107587427362;19.07704966745534;0.054525312206257545;0.16494112194279303;0.0589386533865894;0.0817210918863223;nan;nan;nan
orb;29788.0;23935.2;0.0023937109251361884;brisk;26101.0;20948.0;0.017904800404602093;L2;BF;212.0;9842.4;19.250171502799997;1.9422789650196788;91.5691159709086;0.007116959849603867;0.021326781194608624;0.008856171784522578;0.01048210013993335;nan;nan;nan
orb;nan;nan;nan;kaze;nan;nan;nan;L2;BF;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
orb;29788.0;23935.2;0.0023937109251361884;daisy;29788.0;23935.2;0.018421295172342256;L2;BF;3710.6;4293.4;59.90857101920001;53.20154827840927;232.90928159354735;0.12456693970726467;0.5208275831062494;0.12555903849118027;0.19005401301667404;nan;nan;nan
orb;29788.0;23935.2;0.0023937109251361884;freak;19370.0;15299.8;0.021077517313783534;L2;BF;134.2;5898.0;10.5884265796;1.781491955353811;78.0190525891696;0.004505169867060561;0.022832960272885998;0.005623507480669575;0.007416089783447386;nan;nan;nan
orb;29788.0;23935.2;0.0023937109251361884;brief;29788.0;23935.2;0.0028393052738266626;L2;BF;933.2;9286.6;15.0544056194;1.580172070608901;29.62780323069851;0.031328051564388344;0.0897520156834297;0.03373422224590066;0.046309567962309964;nan;nan;nan
orb;29788.0;23935.2;0.0023937109251361884;lucid;29788.0;23935.2;0.005060092130110572;L2;BF;770.2;7582.0;66.2198014022;8.667810757625023;161.32687839548726;0.025856049415872162;0.08702476921444131;0.02783411593295847;0.03961367290267865;nan;nan;nan
orb;29788.0;23935.2;0.0023937109251361884;latch;29788.0;23935.2;0.0012224844124820635;L2;BF;253.4;11463.0;3.4221533944;0.29088779298610035;13.201901609321572;0.00850678125419632;0.022059200127186845;0.011084916838182007;0.0121809232391312;nan;nan;nan
