Detector;Keypoint1;Keypoint2;1K Detect Time;Descriptor;Descriptor1;Descriptor2;1K Descript Time;Norm.;Matcher;Inliers;All Matches;Total Time;1K Match Tot. Time;1K Inliers Time;Recall;Precision;Repeatibility;F1-Score;Reprojection Error;3DPoints;Reconstruction Time
sift;3720.0;4186.6;0.04216005751321849;sift;3720.0;4186.6;0.06209589012751564;L2;BF;575.2;1542.4;1.0657144993999998;0.6902752512113979;2.133348336949751;0.15462365591397847;0.3725773286684146;0.16387008201803335;0.21839036259447164;nan;nan;nan
sift;nan;nan;nan;akaze;nan;nan;nan;L2;BF;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
sift;nan;nan;nan;orb;nan;nan;nan;L2;BF;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
sift;3720.0;4186.6;0.04216005751321849;brisk;3522.0;3963.6;0.01281776370449009;L2;BF;35.4;967.2;0.7204244374;0.7428633083890845;20.43350499756661;0.009516129032258064;0.03672628998877474;0.0099408336433367;0.015103596256532159;nan;nan;nan
sift;nan;nan;nan;kaze;nan;nan;nan;L2;BF;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
sift;3720.0;4186.6;0.04216005751321849;daisy;3720.0;4186.6;0.037586921645134545;L2;BF;32.6;519.0;1.3527253425999999;2.7292365455795817;44.13317916557692;0.008763440860215055;0.06353429225551148;0.009333758480806364;0.015353205133548837;nan;nan;nan
sift;3720.0;4186.6;0.04216005751321849;freak;3344.0;3775.0;0.011491521974054206;L2;BF;34.4;855.0;0.6683548958000001;0.7803149036726105;19.555763607824836;0.009247311827956989;0.04023053672960241;0.009659882021576235;0.015031691810969416;nan;nan;nan
sift;3720.0;4186.6;0.04216005751321849;brief;3212.0;3653.4;0.0023714661789279888;L2;BF;48.0;1305.2;0.4446799896;0.3399369816818444;9.373573385790696;0.012903225806451613;0.03666744884003887;0.013388602504827197;0.019076407665879876;nan;nan;nan
sift;3720.0;4186.6;0.04216005751321849;lucid;3720.0;4186.6;0.0048426936640709834;L2;BF;49.0;1276.8;1.628247166;1.2695233227269966;33.14731450464984;0.013172043010752688;0.0383638813714381;0.013693822961506438;0.019585349869817727;nan;nan;nan
sift;3720.0;4186.6;0.04216005751321849;latch;3265.0;3713.4;0.0014821923738750746;L2;BF;61.6;1678.8;0.254489333;0.15178097437382088;4.178770141992606;0.016559139784946237;0.03678101808971533;0.017262935997590833;0.022811740407072588;nan;nan;nan
sift;3720.0;4186.6;0.04216005751321849;vgg;3720.0;4186.6;0.9460715244234497;L2;BF;116.4;1312.6;4.3887913522;3.3337883764971026;82.77878805823683;0.031290322580645166;0.09076291309717632;0.03608341747710404;0.0465302815998255;nan;nan;nan
sift;3720.0;4186.6;0.04216005751321849;beblid;3720.0;4186.6;0.007005644018416343;L2;BF;243.8;1238.6;0.7539261976;0.6080290217609023;5.716670101026958;0.06553763440860214;0.1952049721442733;0.06956626100511949;0.09805292515467859;nan;nan;nan
sift;3720.0;4186.6;0.04216005751321849;teblid;3720.0;4186.6;0.00379785124029632;L2;BF;102.2;1378.0;0.4983182706;0.3608251132068997;6.999011955451115;0.027473118279569896;0.07528052097211099;0.029633044587341235;0.04018870198934819;nan;nan;nan
sift;3720.0;4186.6;0.04216005751321849;boost;3720.0;4186.6;0.22281686349470248;L2;BF;181.0;1325.8;1.4194513744;1.0657950813501789;11.730279910813062;0.04865591397849462;0.13535733988724405;0.05080370586880657;0.07146524747337676;nan;nan;nan
akaze;896.0;963.6;0.09532917385693335;sift;896.0;963.6;0.08481661996590205;L2;BF;117.4;286.4;0.20975251040000004;0.7395030934341279;3.525591418366134;0.13102678571428572;0.3906736914525443;0.1351159130695128;0.19555338583737308;nan;nan;nan
akaze;896.0;963.6;0.09532917385693335;akaze;896.0;963.6;0.09769229170415453;L2;BF;85.0;348.6;0.2381533956;0.6834035642198686;5.58535847928812;0.09486607142857142;0.2435507405499305;0.0980627358113935;0.1364881385327318;nan;nan;nan
akaze;896.0;963.6;0.09532917385693335;orb;892.0;958.6;0.009072807466181304;L2;BF;21.4;296.4;0.12836885439999998;0.43343486863249164;6.195705327277191;0.023883928571428573;0.07208708514814316;0.02439723596328794;0.0358658052669843;nan;nan;nan
akaze;896.0;963.6;0.09532917385693335;brisk;896.0;963.6;0.015672227808256497;L2;BF;52.0;277.2;0.1493490106;0.5389618879341047;4.662279769328208;0.05803571428571429;0.18545845017400467;0.059780668324082485;0.08838431302738807;nan;nan;nan
akaze;896.0;963.6;0.09532917385693335;kaze;896.0;963.6;0.2819213552550459;L2;BF;76.2;157.6;0.38651374980000003;2.6993634231269685;12.424371444284866;0.08504464285714286;0.4041874292757216;0.08785379635617237;0.13826272190221414;nan;nan;nan
akaze;896.0;963.6;0.09532917385693335;daisy;896.0;963.6;0.14893753287261707;L2;BF;20.4;146.0;0.29198487479999996;2.111474397720957;16.71803189285068;0.022767857142857142;0.13747345243287373;0.023303891946516584;0.03884484703178708;nan;nan;nan
akaze;896.0;963.6;0.09532917385693335;freak;896.0;963.6;0.013463286474293235;L2;BF;37.2;280.0;0.1485936562;0.5313979619912104;5.9793231733698695;0.04151785714285714;0.12967461744894346;0.04247850235066232;0.06287953766444757;nan;nan;nan
akaze;896.0;963.6;0.09532917385693335;brief;896.0;963.6;0.0048052747083894235;L2;BF;26.8;322.2;0.1235742294;0.3834564115079581;5.1586728208596835;0.029910714285714284;0.08414913643502551;0.03060791761489643;0.044112382406407705;nan;nan;nan
akaze;896.0;963.6;0.09532917385693335;lucid;896.0;963.6;0.007855876626954464;L2;BF;19.8;329.4;0.1946977608;0.5909282429872263;9.889139700877193;0.02209821428571429;0.06007057961933099;0.022534673552349487;0.032291177860355444;nan;nan;nan
akaze;896.0;963.6;0.09532917385693335;latch;896.0;963.6;0.002460632036447444;L2;BF;24.6;459.2;0.1052562186;0.22940232660813203;4.3632250872330065;0.02745535714285714;0.05395368383285996;0.02813102667498878;0.03637798164154533;nan;nan;nan
